=== Moccasin CLI Profiling Report ===

Command: compile profiling/contracts/counter.vy --no-install
Profiling report generated at 2025-07-15

### Cumulative Stats ###
         1957091 function calls (1871506 primitive calls) in 1.012 seconds

   Ordered by: cumulative time
   List reduced from 6833 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      150    0.000    0.000    0.055    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/dataclasses.py:1221(wrap)
      150    0.004    0.000    0.055    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/dataclasses.py:884(_process_class)
        1    0.000    0.000    0.055    0.055 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_account/account.py:1(<module>)
     1166    0.006    0.000    0.054    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
    38308    0.031    0.000    0.051    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:82(__mul__)
     1025    0.001    0.000    0.051    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/__init__.py:272(_compile)
        1    0.000    0.000    0.050    0.050 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/bls/g2_primitives.py:1(<module>)
        1    0.000    0.000    0.049    0.049 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/bls/point_compression.py:1(<module>)
        1    0.000    0.000    0.049    0.049 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/vyper/codegen/core.py:1(<module>)
        1    0.000    0.000    0.049    0.049 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/bls/constants.py:1(<module>)
        9    0.000    0.000    0.049    0.005 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/bls/constants.py:10(<genexpr>)
      452    0.000    0.000    0.049    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/__init__.py:225(compile)
        1    0.000    0.000    0.049    0.049 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/vyper/codegen/context.py:1(<module>)
      144    0.000    0.000    0.048    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_compiler.py:740(compile)
     1101    0.002    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.047    0.047 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/vyper/codegen/ir_node.py:1(<module>)
     1101    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.043    0.043 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/hypothesis/_settings.py:1(<module>)
    767/4    0.001    0.000    0.043    0.011 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bls12_381/optimized_curve.py:133(multiply)
     1145    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
     1145    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
        1    0.000    0.000    0.041    0.041 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth/precompiles/ecadd.py:1(<module>)
3818/3589    0.002    0.000    0.040    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/typing.py:373(inner)
        1    0.000    0.000    0.040    0.040 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/__init__.py:35(__getattr__)
        1    0.000    0.000    0.040    0.040 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/__init__.py:29(_import_module)
        1    0.000    0.000    0.040    0.040 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bn128/__init__.py:1(<module>)
 22684/15    0.017    0.000    0.039    0.003 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/copy.py:128(deepcopy)
  1897/14    0.004    0.000    0.039    0.003 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/copy.py:227(_deepcopy_dict)
        1    0.000    0.000    0.037    0.037 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/hypothesis/core.py:1(<module>)
        1    0.000    0.000    0.036    0.036 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bn128/optimized_pairing.py:1(<module>)
     1435    0.008    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
    15434    0.022    0.000    0.036    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:235(__init__)
    764/4    0.001    0.000    0.035    0.009 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/optimized_bn128/optimized_curve.py:125(multiply)
        1    0.000    0.000    0.033    0.033 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/hypothesis/strategies/__init__.py:1(<module>)
        1    0.000    0.000    0.033    0.033 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/hypothesis/internal/conjecture/providers.py:1(<module>)
     7414    0.005    0.000    0.033    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:461(__init__)
        1    0.000    0.000    0.032    0.032 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_account/account_local_actions.py:1(<module>)
        1    0.000    0.000    0.032    0.032 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_account/messages.py:1(<module>)
      144    0.000    0.000    0.032    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:979(parse)
        1    0.000    0.000    0.032    0.032 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_account/_utils/encode_typed_data/__init__.py:1(<module>)
        1    0.000    0.000    0.031    0.031 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/vyper/ast/__init__.py:1(<module>)
      575    0.002    0.000    0.031    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.031    0.031 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_account/_utils/encode_typed_data/encoding_and_hashing.py:1(<module>)
  689/144    0.002    0.000    0.031    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:456(_parse_sub)
        1    0.000    0.000    0.031    0.031 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/eth_abi/__init__.py:1(<module>)


### Time Stats ###
         1957091 function calls (1871506 primitive calls) in 1.012 seconds

   Ordered by: internal time
   List reduced from 6833 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15317    0.201    0.000    0.273    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:280(__mul__)
     1101    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
   1745/2    0.035    0.000    0.990    0.495 {built-in method builtins.exec}
    38308    0.031    0.000    0.051    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:82(__mul__)
      936    0.023    0.000    0.023    0.000 {built-in method builtins.compile}
    15434    0.022    0.000    0.036    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:235(__init__)
2540/2477    0.017    0.000    0.138    0.000 {built-in method builtins.__build_class__}
    49566    0.017    0.000    0.024    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:57(__init__)
317385/317369    0.017    0.000    0.018    0.000 {built-in method builtins.isinstance}
 22684/15    0.017    0.000    0.039    0.003 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/copy.py:128(deepcopy)
     4970    0.014    0.000    0.014    0.000 {built-in method posix.stat}
        1    0.014    0.014    0.014    0.014 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 1130/156    0.013    0.000    0.031    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/re/_parser.py:516(_parse)
    15317    0.013    0.000    0.013    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:296(<listcomp>)
6578/4811    0.010    0.000    0.023    0.000 {built-in method __new__ of type object at 0x58b51fd72b50}
   120442    0.009    0.000    0.009    0.000 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:247(<genexpr>)
     1101    0.009    0.000    0.009    0.000 {built-in method io.open_code}
     1104    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
     1435    0.008    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
     1765    0.008    0.000    0.013    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/enum.py:242(__set_name__)
104702/80556    0.007    0.000    0.076    0.000 {built-in method builtins.hasattr}
  783/619    0.007    0.000    0.020    0.000 /home/s3bc40/.local/share/uv/python/cpython-3.11.13-linux-x86_64-gnu/lib/python3.11/inspect.py:2435(_signature_from_callable)
31227/31223    0.006    0.000    0.007    0.000 {built-in method builtins.getattr}
       34    0.006    0.000    0.279    0.008 /home/s3bc40/gh-projects/moccasin/.venv/lib/python3.11/site-packages/py_ecc/fields/optimized_field_elements.py:325(__pow__)
     1166    0.006    0.000    0.054    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
